Mapmaker ID,Mapmaker Name
1,Abraham Ortelius
2,Petrus ab Aggere
3,Liévin Algoet
4,Gregorio Amaseo
5,Marcus Ambrosius
6,Cornelis Anthoniszoon
7,Peter Apian
8,Philipp Apian
9,Johannes A ventinus
10,Girolamo Bell' Armato
11,Peter Böckel
12,Gilles Boileau de Buillon
13,Benedetto Bordone
14,Martin Brion
15,Bonaventure Brochard
16,Caspar Brusch
17,Sebastian Cabot
18,Bonaventura Castiglioni
19,Jean Chaumeau
20,Jerónimo de Chaves
21,Pietro Cappo
22,Johann Criginger
23,Nicolaus Cusanus
24,Johann Cuspinianus
25,Jacob van Deventer
26,Charles de l'Escluse
27,Oronce Fine
28,Lorenz Fries
29,Gemma Frisius
30,Giacomo Gastaldi
31,Thomas Geminus
32,Nicolaus Germanus
33,Paolo Giovio
34,Agostino Giustiniani
35,Wacław Grodecki
36,Giovan Battista Guicciardini
37,Diego Gutierrez
38,Martin Helwig
39,Carl Heydanus
40,Augustin Hirschvogel
41,Johannes Honter
42,Johannes à Hoorn
43,Anthony Jenkinson
44,Jean Jolivet
45,Marcus Jordan
46,Stephan Keltenhofer
47,Peter Laicksteen
48,Ferdinand de Lannoy
49,Wolfgang Lazius
50,Humphrey Lhuyd
51,Pirro Ligorio
52,Domenico Macaneo · 359
53,Olaus Magnus
54,Godfried Mascop · 367
55,Johannes Mellinger
56,Gerard Mercator
57,Franciscus Monachus · 407
58,Sebastian Munster
59,Nicolas de Nicolay · 435
60,Vincenzo Paletino
61,Johann Putsch
62,Christophorus Pyramius
63,Erhart Reich
64,Sebastian Rotenhan · 453
65,Johann Sambucus
66,Bartholomaeus Scultetus
67,Fernando Alvares Seco
68,Marcus Secsnagel
69,Giovan Giorgio Settala
70,Christian Sgrooten
71,Nikolaos Sophianos · 495
72,Tilemann Stella
73,Johannes Stumpf
74,Jean Surhon
75,Bernardus Sylvanus
76,Gabriel Symeoni
77,André Thevet
78,Aegidius Tschudi · 547 25
79,Caspar Vopel
80,Martin Waldseemüller
81,Anton Wied
82,Wolfgang Wissenburg
83,Christoph Zell
84,Heinrich Zell
85,Nicolò Zeno
86,Jacob Ziegler
87,Giovanni Domenico Zorzi
88,Matthias Zündt
